country_code    ALB    AND    ARM    AUT    BEL    BGR    BIH    BLR    CHE    CYP    CZE    DEU    DNK    ESP    EST    FIN    FRA    GBR    GEO    GRC    HRV    HUN    IRL    ISL    ISR    ITA    LTU    LUX    LVA    MDA    MNE    NLD    NOR    POL    PRT    ROU    RUS    SVK    SVN    SWE    TUR    UKR
year                                                                                                                                                                                                                                                                                                              
1999           True  False  False   True  False   True   True  False  False   True  False  False  False  False   True  False  False  False  False   True   True   True  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2000           True  False  False   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True   True  False  False  False  False  False  False  False  False  False  False  False  False   True  False  False  False   True  False  False  False
2001           True  False  False   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True   True  False  False  False  False  False  False  False  False  False  False  False  False   True  False  False  False   True  False  False  False
2002           True  False  False   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True   True  False  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2003           True  False  False   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True  False  False  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2004           True  False   True   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True  False  False  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False   True  False  False  False
2005           True  False  False   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True  False  False  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False   True  False  False  False
2006           True  False   True  False  False   True   True  False  False   True  False  False  False  False   True  False  False  False  False   True   True  False  False  False  False  False  False   True  False  False  False  False  False  False   True  False  False  False   True  False  False  False
2007           True  False   True  False  False   True   True  False  False   True  False  False  False  False   True  False  False  False  False  False   True  False  False  False  False  False  False   True  False   True   True  False  False  False   True  False  False  False   True  False  False  False
2008           True  False  False  False  False   True  False  False  False   True  False  False  False  False   True  False  False  False  False   True   True  False  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2009           True  False   True  False  False   True  False  False  False   True  False  False  False  False  False  False  False  False  False  False   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2010           True  False   True  False  False   True  False  False  False   True  False  False  False  False  False  False  False  False   True  False   True  False  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2011           True  False   True  False  False   True  False  False  False   True  False  False  False  False  False  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2012           True  False   True  False  False   True  False  False  False   True  False  False  False  False  False  False  False  False   True   True   True  False  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2013           True  False   True  False  False   True  False  False  False   True  False  False  False  False   True  False  False  False   True   True   True  False  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2014           True  False   True  False  False   True  False  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2015           True  False   True   True  False   True  False  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2016           True  False   True   True  False   True   True  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2017           True  False   True   True  False   True   True  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2018           True  False   True   True  False   True   True  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False  False  False
2019           True   True   True   True  False   True   True  False  False   True  False  False  False  False   True  False  False  False   True   True   True   True  False  False  False  False  False   True  False  False   True  False  False  False   True  False  False  False   True  False   True  False
2020           True  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False   True  False  False  False  False  False  False   True  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2021          False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2022          False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False
2023          False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False  False
